Char Dec	Hex	
👲	128114	1F472	
👳	128115	1F473	
👴	128116	1F474	
👵	128117	1F475	
👶	128118	1F476	
👷	128119	1F477	
👸	128120	1F478	
👹	128121	1F479	
👺	128122	1F47A	
👻	128123	1F47B	
👼	128124	1F47C	
👽	128125	1F47D	
👾	128126	1F47E	
👿	128127	1F47F	
💀	128128	1F480	
💁	128129	1F481	
💂	128130	1F482	
💃	128131	1F483	
💄	128132	1F484	
💅	128133	1F485	
💆	128134	1F486	
💇	128135	1F487	
💈	128136	1F488	
💉	128137	1F489	
💊	128138	1F48A	
💋	128139	1F48B	
💌	128140	1F48C	
💍	128141	1F48D	
💎	128142	1F48E	
💏	128143	1F48F	
💐	128144	1F490	
💑	128145	1F491	
💒	128146	1F492	
💓	128147	1F493	
💔	128148	1F494	
💕	128149	1F495	
💖	128150	1F496	
💗	128151	1F497	
💘	128152	1F498	
💙	128153	1F499	
💚	128154	1F49A	
💛	128155	1F49B	
💜	128156	1F49C	
💝	128157	1F49D	
💞	128158	1F49E	
💟	128159	1F49F	
💠	128160	1F4A0	
💡	128161	1F4A1	
💢	128162	1F4A2	
💣	128163	1F4A3	
💤	128164	1F4A4	
💥	128165	1F4A5	
💦	128166	1F4A6	
💧	128167	1F4A7	
💨	128168	1F4A8	
💩	128169	1F4A9	
💪	128170	1F4AA	
💫	128171	1F4AB	
💬	128172	1F4AC	
💭	128173	1F4AD	
💮	128174	1F4AE	
💯	128175	1F4AF	
💰	128176	1F4B0	
💱	128177	1F4B1	
💲	128178	1F4B2	
💳	128179	1F4B3	
💴	128180	1F4B4	
💵	128181	1F4B5	
💶	128182	1F4B6	
💷	128183	1F4B7	
💸	128184	1F4B8	
💹	128185	1F4B9	
💺	128186	1F4BA	
💻	128187	1F4BB	
💼	128188	1F4BC	
💽	128189	1F4BD	
💾	128190	1F4BE	
💿	128191	1F4BF	
📀	128192	1F4C0	
📁	128193	1F4C1	
📂	128194	1F4C2	
📃	128195	1F4C3	
📄	128196	1F4C4	
📅	128197	1F4C5	
📆	128198	1F4C6	
📇	128199	1F4C7	
📈	128200	1F4C8	
📉	128201	1F4C9	
📊	128202	1F4CA	
📋	128203	1F4CB	
📌	128204	1F4CC	
📍	128205	1F4CD	
📎	128206	1F4CE	
📏	128207	1F4CF	
📐	128208	1F4D0	
📑	128209	1F4D1	
📒	128210	1F4D2	
📓	128211	1F4D3	
📔	128212	1F4D4	
📕	128213	1F4D5	
📖	128214	1F4D6	
📗	128215	1F4D7	
📘	128216	1F4D8	
📙	128217	1F4D9	
📚	128218	1F4DA	
📛	128219	1F4DB	
📜	128220	1F4DC	
📝	128221	1F4DD	
📞	128222	1F4DE	
📟	128223	1F4DF	
📠	128224	1F4E0	
📡	128225	1F4E1	
📢	128226	1F4E2	
📣	128227	1F4E3	
📤	128228	1F4E4	
📥	128229	1F4E5	
📦	128230	1F4E6	
📧	128231	1F4E7	
📨	128232	1F4E8	
📩	128233	1F4E9	
📪	128234	1F4EA	
📫	128235	1F4EB	
📬	128236	1F4EC	
📭	128237	1F4ED	
📮	128238	1F4EE	
📯	128239	1F4EF	
📰	128240	1F4F0	
📱	128241	1F4F1	
📲	128242	1F4F2	
📳	128243	1F4F3	
📴	128244	1F4F4	
📵	128245	1F4F5	
📶	128246	1F4F6	
📷	128247	1F4F7	
📸	128248	1F4F8	
📹	128249	1F4F9	
📺	128250	1F4FA	
📻	128251	1F4FB	
